FG Signal amplitude(V),Signal frequency(Hz),Signal freq_std(Hz),MTJ operating current(A),Voltage of shunt R(V),Shunt resistance(Ohm),R average,R std,DC component,HHC field amplitude(G),MTJ signal amplitude(V),Percent change,Sensitivity(%/G),Real time(s),,HHC field amplitude(G),R average
0.72,1502.998901,0.000814138,0.001,0.50396711,9887.211007,1.99E-05,4.71E-06,3.0088,0.002286996,2.82E-05,9.36E-06,0.409371726,5.5892844,,0.002286996,1.99E-05
0.71,1502.998904,0.000691795,0.001,0.49697948,9887.211007,2.11E-05,3.50E-06,3.0088,0.002255286,2.98E-05,9.90E-06,0.439178731,11.5432171,,0.002255286,2.11E-05
0.7,1502.998836,0.000651387,0.001,0.4899637,9887.211007,1.93E-05,5.34E-06,3.0088,0.002223449,2.73E-05,9.08E-06,0.40827116,17.494757,,0.002223449,1.93E-05
0.69,1502.998933,0.000817595,0.001,0.48294562,9887.211007,2.06E-05,5.16E-06,3.0088,0.002191601,2.91E-05,9.67E-06,0.441409623,23.3366753,,0.002191601,2.06E-05
0.68,1502.998766,0.000853403,0.001,0.47591367,9887.211007,2.01E-05,4.53E-06,3.0088,0.00215969,2.85E-05,9.46E-06,0.437971881,29.3977356,,0.00215969,2.01E-05
0.67,1502.998844,0.000792838,0.001,0.46890839,9887.211007,1.88E-05,4.96E-06,3.0087,0.0021279,2.66E-05,8.82E-06,0.414702526,35.3491968,,0.0021279,1.88E-05
0.66,1502.998853,0.000688652,0.001,0.4618964,9887.211007,1.82E-05,4.89E-06,3.0087,0.00209608,2.58E-05,8.57E-06,0.408915114,41.3377297,,0.00209608,1.82E-05
0.65,1502.998816,0.000761536,0.001,0.45489238,9887.211007,1.89E-05,4.65E-06,3.0088,0.002064296,2.68E-05,8.91E-06,0.431429079,47.4274169,,0.002064296,1.89E-05
0.64,1502.998861,0.000696361,0.001,0.44788963,9887.211007,1.81E-05,4.90E-06,3.0088,0.002032517,2.55E-05,8.48E-06,0.417424675,53.3807336,,0.002032517,1.81E-05
0.63,1502.998806,0.000751532,0.001,0.44138968,9887.211007,1.88E-05,4.85E-06,3.0088,0.002003021,2.65E-05,8.81E-06,0.440079987,59.3475565,,0.002003021,1.88E-05
0.62,1502.998831,0.00078318,0.001,0.43442662,9887.211007,1.63E-05,4.92E-06,3.0088,0.001971422,2.31E-05,7.67E-06,0.388968983,65.302213,,0.001971422,1.63E-05
0.61,1502.998822,0.000727671,0.001,0.42755933,9887.211007,1.68E-05,4.27E-06,3.0087,0.001940259,2.38E-05,7.90E-06,0.407059895,71.2511052,,0.001940259,1.68E-05
0.6,1502.998878,0.000801024,0.001,0.42052843,9887.211007,1.70E-05,4.37E-06,3.0088,0.001908352,2.40E-05,7.98E-06,0.418279912,77.2576793,,0.001908352,1.70E-05
0.59,1502.998812,0.000702034,0.001,0.41347044,9887.211007,1.62E-05,4.74E-06,3.0088,0.001876323,2.29E-05,7.62E-06,0.405924335,83.1752549,,0.001876323,1.62E-05
0.58,1502.998649,0.00068242,0.001,0.40641686,9887.211007,1.59E-05,4.75E-06,3.0088,0.001844314,2.25E-05,7.46E-06,0.404622575,89.0916885,,0.001844314,1.59E-05
0.57,1502.998956,0.00069769,0.001,0.39943238,9887.211007,1.54E-05,4.74E-06,3.0087,0.001812619,2.18E-05,7.23E-06,0.399074841,95.21909,,0.001812619,1.54E-05
0.56,1502.998853,0.000886861,0.001,0.39241177,9887.211007,1.57E-05,4.85E-06,3.0088,0.001780759,2.22E-05,7.38E-06,0.414452169,101.1714199,,0.001780759,1.57E-05
0.55,1502.998829,0.000703204,0.001,0.38537226,9887.211007,1.57E-05,4.21E-06,3.0088,0.001748814,2.22E-05,7.37E-06,0.421265007,107.2987066,,0.001748814,1.57E-05
