Signal amplitude(V),Signal frequency(Hz),Shunt resistance(Ohm),MTJ operating current(A),MTJ signal amplitude(V),DC component,HHC field amplitude(G),Sensitivity(%/G)
0.1,95,982.7692212,0.001,9.40E-05,2.9958,0.003033982,1.034010972
0.2,95,982.7692212,0.001,9.65E-05,2.9959,0.006070198,0.530688141
0.3,95,982.7692212,0.001,0.000143879,2.9959,0.009101639,0.527657258
0.4,95,982.7692212,0.001,0.000191385,2.9959,0.012126875,0.526781951
0.5,95,982.7692212,0.001,0.000242035,2.9959,0.015168346,0.532614365
0.6,95,982.7692212,0.001,0.000287162,2.9959,0.018200141,0.526653215
0.7,95,982.7692212,0.001,0.00033979,2.9959,0.021248056,0.533782029
0.8,95,982.7692212,0.001,0.000390154,2.9959,0.024280042,0.53636353
0.9,95,982.7692212,0.001,0.000437718,2.9959,0.027323642,0.534722429
1,95,982.7692212,0.001,0.000489534,2.9959,0.030350067,0.538388127
0.05,95,5.120274518,0.001,0.000411601,2.9529,0.024484908,0.569283925
0.06,95,5.120274518,0.001,0.000470292,2.9502,0.02926761,0.544664019
0.07,95,5.120274518,0.001,0.000551881,2.9496,0.034031892,0.549789333
0.08,95,5.120274518,0.001,0.000630038,2.951,0.038915901,0.548618553
0.09,95,5.120274518,0.001,0.000717869,2.9499,0.043813545,0.55543047
0.1,95,5.120274518,0.001,0.000848143,2.9547,0.048666981,0.589822612
0.2,95,5.120274518,0.001,0.001648406,2.9548,0.097208531,0.573894155
0.3,95,5.120274518,0.001,0.00254008,2.955,0.145802018,0.589557692
0.4,95,5.120274518,0.001,0.003497021,2.9552,0.19435921,0.608844253
0.5,95,5.120274518,0.001,0.004510274,2.9576,0.243017542,0.627517593
0.6,95,5.120274518,0.001,0.005563887,2.9598,0.291648605,0.644549123
0.7,95,5.120274518,0.001,0.00664558,2.9593,0.340410461,0.65969171
0.8,95,5.120274518,0.001,0.007743019,2.9596,0.388982759,0.67258465
0.9,95,5.120274518,0.001,0.008978889,2.9598,0.437709249,0.693065875
1,95,5.120274518,0.001,0.010163308,2.9626,0.485026931,0.707287877
2,95,5.120274518,0.001,0.024301279,2.9645,0.972102486,0.843268004
3,95,5.120274518,0.001,0.040251432,2.9664,1.459314102,0.92982848
4,95,5.120274518,0.001,0.05740612,2.9693,1.94556689,0.99370609
5,95,5.120274518,0.001,0.075911404,2.972,2.431957692,1.050272999
6,95,5.120274518,0.001,0.094794212,2.9734,2.911704526,1.094916955
7,95,5.120274518,0.001,0.114255653,2.9763,3.396394816,1.13027162
8,95,5.120274518,0.001,0.133614939,2.978,3.881896631,1.155809759
9,95,5.120274518,0.001,0.153079996,2.9614,4.366043976,1.183949734
10,95,5.120274518,0.001,0.172713964,2.9703,4.851801665,1.198461532
